    crate  slot  femch  nsamples_p50  pulse50rms  nsamples_p100  pulse100rms  nsamples_pulse    pulserms    eventrms  nsamples_evt  channelrms  nsamples_ch
11      9    14     47            50   73.999886            100    76.760976             300   77.016559   77.378713          1500   77.461340       150000
47      9    16      0            50   78.357925            100    79.198907             300   79.431151   79.546804          1500   79.579184       150000
44      9    16      2            50   72.991784            100    74.217251             300   74.347878   74.456492          1500   74.482431       150000
54      9    16      4            50   74.426358            100    74.304231             300   74.431851   74.529391          1500   74.550643       150000
51      9    16      6            50   72.627482            100    72.489788             300   72.837653   72.935518          1500   72.955441       150000
62      9    16      8            50   70.996565            100    70.853446             300   71.246721   71.350281          1500   71.375000       150000
58      9    16     10            50   71.120654            100    70.694390             300   71.454276   71.553991          1500   71.578143       150000
71      9    16     12            50   71.153674            100    71.712314             300   72.074960   72.177056          1500   72.199844       150000
66      9    16     14            50   72.155938            100    72.819344             300   73.092824   73.185216          1500   73.211215       150000
79      9    16     16            50   68.758599            100    68.698710             300   68.896989   68.988527          1500   69.011707       150000
75      9    16     18            50   69.459540            100    70.565904             300   70.421890   70.526578          1500   70.556196       150000
18      9    16     19            50   70.744196            100    83.372627             300   91.974085  119.319047          1500  126.081649       150000
86      9    16     20            50   71.209988            100    71.757703             300   71.921912   72.010389          1500   72.038989       150000
82      9    16     22            50   70.897024            100    71.460674             300   71.553007   71.650898          1500   71.673888       150000
4       9    16     24            50   70.665073            100    69.931478             300   70.470074   70.550484          1500   70.573395       150000
2       9    16     26            50   71.765637            100    71.469743             300   71.895855   71.997014          1500   72.023758       150000
9       9    16     28            50   72.338941            100    72.801866             300   73.148469   73.248121          1500   73.276774       150000
7       9    16     30            50   73.831479            100    74.685479             300   74.511488   74.611842          1500   74.632704       150000

